#,comment,comment
s,150,150,400,150,10,25,25,25
s,400,150,430,150,10,25,25,25
s,430,150,550,220,10,25,25,25
s,550,220,700,350,10,25,25,25
s,700,350,800,350,10,25,25,25
s,800,350,870,280,10,25,25,25
s,870,280,960,220,10,25,25,25
s,960,220,1100,220,10,25,25,25
s,1100,220,1170,270,10,25,25,25
s,1170,270,1220,340,10,25,25,25
s,1220,340,1300,350,10,25,25,25
s,1300,350,1370,300,10,25,25,25
s,1370,300,1390,230,10,25,25,25
s,1390,230,1440,120,10,25,25,25
s,1440,120,1500,100,10,25,25,25
s,1500,100,1670,110,10,25,25,25
s,1670,110,1760,140,10,25,25,25
s,1760,140,1880,200,10,25,25,25
s,1880,200,1920,280,10,25,25,25
s,1920,280,1920,360,10,25,25,25
s,1920,360,1850,400,10,25,25,25
s,1850,400,1780,380,10,25,25,25
s,1780,380,1750,300,10,25,25,25
s,1750,300,1660,250,10,25,25,25
s,1660,250,1580,260,10,25,25,25
s,1580,260,1540,350,10,25,25,25
s,1540,350,1580,440,10,25,25,25
s,1580,440,1670,460,10,25,25,25
s,1670,460,1750,500,10,25,25,25
s,1750,500,1870,560,10,25,25,25
s,1870,560,1870,670,10,25,25,25
s,1870,670,1870,910,10,25,25,25
s,1870,670,1870,910,10,25,25,25
s,1870,750,1870,755,20,255,0,0
s,1870,910,1700,910,10,25,25,25
s,1700,910,1700,1100,10,25,25,25
s,1500,1110,1870,1100,10,25,25,25
s,1870,1100,1870,1390,10,25,25,25
s,1870,1390,1400,1390,10,25,25,25
s,1400,1390,1400,550,10,25,25,25
s,800,700,1550,700,10,25,25,25
s,1000,550,1000,850,10,25,25,25
s,800,700,800,1350,10,25,25,25
s,800,1100,1000,1100,10,25,25,25
s,1000,1100,1100,1100,10,25,25,25
s,1100,1100,1100,1350,10,25,25,25
s,1100,1350,150,1350,10,25,25,25
s,500,700,500,1350,10,25,25,25
s,500,700,150,700,10,25,25,25
s,150,1350,150,700,10,25,25,25
s,500,900,800,900,10,25,25,25
s,150,1100,300,1100,10,25,25,25
s,320,1100,350,1100,50,0,255,0
s,800,800,810,800,30,0,0,255
